src_ip,src_port,dst_ip,host,url,user_agent,response_size,status_code,attack,anomaly
2,39298,10,3,887,84,1075,403,1,1
3,43884,11,4,741,85,527,403,1,1
2,57408,11,4,754,26,980,400,1,1
3,50044,9,2,583,17,0,403,1,1
3,48040,6,13,828,70,168,404,1,1
2,36208,6,13,70,84,168,404,1,1
2,47282,6,13,283,84,168,404,1,1
3,34002,7,14,355,84,995,403,1,1
2,49476,9,2,467,37,301,400,1,1
3,54270,6,13,132,84,168,404,1,1
2,41198,6,13,244,84,168,404,1,1
3,52654,6,13,591,71,570,404,1,1
3,53056,11,4,771,17,0,403,1,1
3,48352,10,3,893,84,1188,403,1,1
2,59760,9,2,266,84,951,403,1,1
3,51426,6,13,306,84,168,404,1,1
2,57780,21,14,417,47,0,400,1,1
3,50552,10,3,1012,29,432,404,1,1
2,45370,7,14,44,84,837,403,1,1
2,49998,10,3,934,84,1212,403,1,1
3,43598,11,4,746,17,980,400,1,1
2,56636,7,14,94,84,744,403,1,1
2,52898,6,13,142,84,168,404,1,1
2,47238,9,2,464,7,301,400,1,1
2,36320,9,2,364,27,301,400,1,1
3,56664,11,4,803,4,0,302,1,1
3,52814,11,4,671,84,1504,403,1,1
3,59824,10,3,974,35,308,404,1,1
3,35830,9,2,164,84,1542,403,1,1
2,50232,10,3,889,84,2102,403,1,1
2,33564,7,14,90,84,607,403,1,1
2,50568,10,3,949,84,1057,403,1,1
3,55872,6,13,549,48,168,404,1,1
3,36878,21,14,226,84,906,403,1,1
2,47366,9,2,89,84,668,403,1,1
3,56706,11,4,803,4,0,302,1,1
2,55268,7,14,155,84,1195,403,1,1
3,40902,11,4,803,66,0,302,1,1
3,53582,7,14,5,67,245,404,1,1
3,59798,6,13,214,84,168,404,1,1
3,52274,10,3,982,42,309,404,1,1
2,34848,6,13,53,84,168,404,1,1
2,54274,7,14,239,84,1103,403,1,1
3,58556,11,4,734,84,1327,403,1,1
3,54496,9,2,439,45,301,400,1,1
2,35130,6,13,30,84,168,404,1,1
2,58444,21,14,152,84,1477,403,1,1
